Experiment	bias spectroscopy	
-1.7431431E+0	-60.356220E-15	-1.7431431E+0	-69.890433E-9	77.709561E-15	10.279532E-12
-1.7400399E+0	-28.224612E-15	-1.7400399E+0	-69.890433E-9	96.647015E-15	10.256097E-12
-1.7369368E+0	-9.7531397E-15	-1.7369368E+0	-69.890433E-9	91.562927E-15	10.280706E-12
-1.7338338E+0	-45.596912E-15	-1.7338338E+0	-69.890433E-9	100.67785E-15	10.263541E-12
-1.7307307E+0	-32.710193E-15	-1.7307307E+0	-69.890433E-9	91.142812E-15	10.236759E-12
-1.7276275E+0	-8.1468925E-15	-1.7276275E+0	-69.890433E-9	78.304523E-15	10.280192E-12
-1.7245245E+0	-8.9699493E-15	-1.7245245E+0	-69.890433E-9	102.90939E-15	10.264887E-12
-1.7214214E+0	-25.864986E-15	-1.7214214E+0	-69.890433E-9	107.05632E-15	10.258271E-12
-1.7183182E+0	-23.789901E-15	-1.7183182E+0	-69.890433E-9	92.157361E-15	10.258384E-12
-1.7152151E+0	4.6261196E-15	-1.7152151E+0	-69.890433E-9	106.43594E-15	10.286697E-12
-1.7121121E+0	-12.265332E-15	-1.7121121E+0	-69.890433E-9	104.47449E-15	10.263395E-12
-1.7090089E+0	-23.873298E-15	-1.7090089E+0	-69.890433E-9	106.50082E-15	10.250483E-12
-1.7059058E+0	-30.558719E-15	-1.7059058E+0	-69.890433E-9	95.226608E-15	10.273103E-12
-1.7028027E+0	4.1036730E-15	-1.7028028E+0	-69.890433E-9	81.353727E-15	10.255998E-12
-1.6996996E+0	-24.799300E-15	-1.6996996E+0	-69.890433E-9	83.349899E-15	10.261745E-12
-1.6965965E+0	-29.545969E-15	-1.6965965E+0	-69.890433E-9	101.49984E-15	10.264309E-12
-1.6934934E+0	-12.421698E-15	-1.6934934E+0	-69.890433E-9	79.304646E-15	10.253403E-12
-1.6903903E+0	-1.8127284E-15	-1.6903903E+0	-69.890433E-9	98.966686E-15	10.268025E-12
-1.6872872E+0	-21.996162E-15	-1.6872872E+0	-69.890433E-9	85.985818E-15	10.284666E-12
-1.6841841E+0	-16.690252E-15	-1.6841841E+0	-69.890433E-9	70.019342E-15	10.267134E-12
-1.6810811E+0	-10.907297E-15	-1.6810811E+0	-69.890433E-9	86.718217E-15	10.272574E-12
-1.6779779E+0	-10.908092E-15	-1.6779779E+0	-69.890433E-9	73.544801E-15	10.267939E-12
-1.6748748E+0	-22.464312E-15	-1.6748748E+0	-69.890433E-9	69.009705E-15	10.255551E-12
-1.6717716E+0	-17.019707E-15	-1.6717716E+0	-69.890433E-9	90.546311E-15	10.265994E-12
-1.6686686E+0	-7.3541018E-15	-1.6686686E+0	-69.890433E-9	89.294525E-15	10.265855E-12
-1.6655655E+0	-23.952894E-15	-1.6655655E+0	-69.890433E-9	71.713069E-15	10.253820E-12
-1.6624624E+0	-17.374980E-15	-1.6624624E+0	-69.890433E-9	64.639646E-15	10.237197E-12
-1.6593592E+0	-5.0518828E-15	-1.6593593E+0	-69.890433E-9	116.24927E-15	10.254977E-12
-1.6562562E+0	977.17352E-18	-1.6562562E+0	-69.890433E-9	99.935583E-15	10.272447E-12
-1.6531531E+0	-22.292416E-15	-1.6531531E+0	-69.890433E-9	76.567543E-15	10.254004E-12
-1.6500499E+0	-11.160487E-15	-1.6500499E+0	-69.890433E-9	74.157281E-15	10.266446E-12
-1.6469469E+0	-985.69743E-18	-1.6469469E+0	-69.890433E-9	109.22855E-15	10.253317E-12
-1.6438438E+0	-14.283689E-15	-1.6438438E+0	-69.890433E-9	98.172257E-15	10.252027E-12
-1.6407406E+0	-27.548339E-15	-1.6407406E+0	-69.890433E-9	94.496812E-15	10.251458E-12
-1.6376376E+0	-22.271402E-15	-1.6376376E+0	-69.890433E-9	81.861587E-15	10.252370E-12
-1.6345345E+0	5.2207375E-15	-1.6345345E+0	-69.890433E-9	105.09675E-15	10.271253E-12
-1.6314313E+0	-14.445974E-15	-1.6314313E+0	-69.890433E-9	96.929646E-15	10.269858E-12
-1.6283282E+0	-21.609881E-15	-1.6283282E+0	-69.890433E-9	76.676038E-15	10.257395E-12
-1.6252252E+0	-3.7485782E-15	-1.6252252E+0	-69.890433E-9	88.916315E-15	10.268482E-12
-1.6221220E+0	-4.4934437E-15	-1.6221220E+0	-69.890433E-9	73.575464E-15	10.263849E-12
-1.6190189E+0	-14.740032E-15	-1.6190189E+0	-69.890433E-9	74.200364E-15	10.263057E-12
-1.6159158E+0	-12.764687E-15	-1.6159159E+0	-69.890433E-9	96.888704E-15	10.269267E-12
-1.6128128E+0	17.821882E-15	-1.6128128E+0	-69.890433E-9	102.60799E-15	10.247462E-12
-1.6097096E+0	-7.9288078E-15	-1.6097096E+0	-69.890433E-9	67.080144E-15	10.236285E-12
-1.6066065E+0	-2.6691061E-15	-1.6066065E+0	-69.890433E-9	81.589588E-15	10.263862E-12
-1.6035035E+0	-4.2748580E-15	-1.6035035E+0	-69.890433E-9	97.809639E-15	10.272335E-12
-1.6004003E+0	24.472884E-15	-1.6004003E+0	-69.890433E-9	74.606662E-15	10.277002E-12
-1.5972972E+0	-2.1429724E-15	-1.5972972E+0	-69.890433E-9	85.039045E-15	10.272221E-12
-1.5941942E+0	-14.420448E-15	-1.5941942E+0	-69.890433E-9	92.218571E-15	10.260749E-12
-1.5910910E+0	15.210742E-15	-1.5910910E+0	-69.890433E-9	82.040772E-15	10.240120E-12
-1.5879879E+0	-3.3751347E-15	-1.5879879E+0	-69.890433E-9	85.724850E-15	10.282751E-12
-1.5848849E+0	-24.017824E-15	-1.5848848E+0	-69.890433E-9	83.619052E-15	10.263650E-12
-1.5817816E+0	-441.23794E-18	-1.5817817E+0	-69.890433E-9	77.031453E-15	10.285086E-12
