Experiment	bias spectroscopy	
-69.924816E-3	-329.28224E-12	-69.924816E-3	5.1780186E-12	-1.7583013E-12	-327.92652E-12	-69.924816E-3	5.1797594E-12	-1.7576444E-12
-69.423564E-3	-328.81520E-12	-69.423556E-3	5.2579655E-12	-1.7604238E-12	-330.23245E-12	-69.423556E-3	5.1417009E-12	-1.8128890E-12
-68.922311E-3	-327.47874E-12	-68.922304E-3	5.2950023E-12	-1.7490610E-12	-327.99674E-12	-68.922304E-3	5.2840592E-12	-1.8071525E-12
-68.421051E-3	-321.85860E-12	-68.421051E-3	5.1207675E-12	-1.8030009E-12	-323.91367E-12	-68.421051E-3	5.2194863E-12	-1.8957529E-12
-67.919806E-3	-319.04165E-12	-67.919798E-3	5.0829284E-12	-1.8069860E-12	-320.51936E-12	-67.919798E-3	5.1649444E-12	-1.8644806E-12
-67.418545E-3	-315.94147E-12	-67.418545E-3	5.0856641E-12	-1.7631249E-12	-317.12571E-12	-67.418545E-3	5.1031041E-12	-1.7635687E-12
-66.917300E-3	-313.63243E-12	-66.917293E-3	5.1567388E-12	-1.7895894E-12	-317.66925E-12	-66.917293E-3	5.1704413E-12	-1.8471761E-12
-66.416040E-3	-313.23530E-12	-66.416040E-3	5.1387956E-12	-1.7706635E-12	-317.21675E-12	-66.416040E-3	5.2746674E-12	-1.9089541E-12
-65.914795E-3	-314.22520E-12	-65.914787E-3	5.2547944E-12	-1.7909769E-12	-311.17089E-12	-65.914787E-3	5.1490847E-12	-1.7720451E-12
-65.413535E-3	-312.56769E-12	-65.413535E-3	5.2265822E-12	-1.7475673E-12	-311.49944E-12	-65.413535E-3	5.2179164E-12	-1.7993337E-12
-64.912282E-3	-305.23831E-12	-64.912282E-3	5.0883386E-12	-1.7255076E-12	-308.95461E-12	-64.912282E-3	5.2724409E-12	-1.7497335E-12
-64.411029E-3	-304.29409E-12	-64.411029E-3	5.0679487E-12	-1.8410312E-12	-302.07875E-12	-64.411029E-3	5.0445420E-12	-1.7631073E-12
-63.909777E-3	-301.47634E-12	-63.909777E-3	5.1321087E-12	-1.8636930E-12	-301.62628E-12	-63.909777E-3	5.1344263E-12	-1.8150292E-12
-63.408524E-3	-297.38187E-12	-63.408524E-3	5.1233731E-12	-1.7176095E-12	-295.64007E-12	-63.408524E-3	5.1142523E-12	-1.8236836E-12
-62.907271E-3	-296.25685E-12	-62.907271E-3	5.1181494E-12	-1.8238924E-12	-299.21535E-12	-62.907271E-3	5.1679798E-12	-1.7740820E-12
-62.406018E-3	-292.16116E-12	-62.406015E-3	5.0781870E-12	-1.8664415E-12	-292.55490E-12	-62.406015E-3	5.1285317E-12	-1.8594397E-12
-61.904766E-3	-288.58133E-12	-61.904762E-3	5.0780400E-12	-1.7175779E-12	-290.48175E-12	-61.904762E-3	4.9816249E-12	-1.8492653E-12
-61.403513E-3	-285.69913E-12	-61.403509E-3	4.9682094E-12	-1.8032259E-12	-289.83241E-12	-61.403509E-3	5.1215789E-12	-1.7981281E-12
-60.902257E-3	-285.01501E-12	-60.902257E-3	5.1086826E-12	-1.7732666E-12	-285.79800E-12	-60.902257E-3	5.0997448E-12	-1.8064016E-12
-60.401004E-3	-279.69274E-12	-60.401004E-3	4.9374658E-12	-1.7700723E-12	-281.93728E-12	-60.401004E-3	5.0491265E-12	-1.8119973E-12
-59.899751E-3	-278.13851E-12	-59.899751E-3	4.9583519E-12	-1.8117318E-12	-279.25476E-12	-59.899751E-3	4.9864965E-12	-1.6970948E-12
-59.398498E-3	-276.93486E-12	-59.398498E-3	5.0271298E-12	-1.7627941E-12	-278.71824E-12	-59.398498E-3	5.0212295E-12	-1.8575952E-12
-58.897246E-3	-276.13481E-12	-58.897246E-3	4.9729084E-12	-1.6988412E-12	-274.59870E-12	-58.897246E-3	5.0257589E-12	-1.8209284E-12
-58.395993E-3	-273.56073E-12	-58.395989E-3	4.8823241E-12	-1.7918655E-12	-271.55408E-12	-58.395989E-3	4.9969993E-12	-1.7937095E-12
-57.894740E-3	-270.74762E-12	-57.894737E-3	5.0191422E-12	-1.8677393E-12	-267.98153E-12	-57.894737E-3	5.0628282E-12	-1.7917218E-12
-57.393488E-3	-269.36495E-12	-57.393484E-3	4.9253566E-12	-1.7522023E-12	-266.06153E-12	-57.393484E-3	4.9528407E-12	-1.8045059E-12
-56.892235E-3	-267.65010E-12	-56.892231E-3	5.0788406E-12	-1.7217645E-12	-266.99348E-12	-56.892231E-3	5.0250442E-12	-1.6889788E-12
-56.390978E-3	-264.94545E-12	-56.390978E-3	4.9859344E-12	-1.7631251E-12	-265.27161E-12	-56.390978E-3	5.1649913E-12	-1.8493362E-12
-55.889726E-3	-263.73853E-12	-55.889726E-3	5.0190125E-12	-1.7735695E-12	-261.51264E-12	-55.889726E-3	5.0727153E-12	-1.8054385E-12
-55.388473E-3	-261.70796E-12	-55.388473E-3	5.0926294E-12	-1.7337362E-12	-260.13500E-12	-55.388473E-3	5.0671013E-12	-1.7457054E-12
-54.887220E-3	-256.61268E-12	-54.887220E-3	5.0127988E-12	-1.7919305E-12	-256.68045E-12	-54.887220E-3	5.0580365E-12	-1.8089458E-12
-54.385968E-3	-257.53241E-12	-54.385968E-3	5.1103535E-12	-1.8987292E-12	-253.62956E-12	-54.385968E-3	5.0396731E-12	-1.8091159E-12
-53.884715E-3	-255.67973E-12	-53.884711E-3	5.0617418E-12	-1.8647724E-12	-254.10379E-12	-53.884711E-3	5.1153235E-12	-1.8412528E-12
-53.383462E-3	-249.78553E-12	-53.383458E-3	5.0020404E-12	-1.6937827E-12	-249.60897E-12	-53.383458E-3	5.0729343E-12	-1.9268892E-12
-52.882209E-3	-245.44813E-12	-52.882206E-3	5.0392746E-12	-1.9024530E-12	-244.04220E-12	-52.882206E-3	4.8997156E-12	-1.7266324E-12
-52.380957E-3	-243.86890E-12	-52.380953E-3	4.9277101E-12	-1.8253140E-12	-241.09509E-12	-52.380953E-3	4.9410415E-12	-1.8057246E-12
-51.879704E-3	-242.66097E-12	-51.879700E-3	5.1118350E-12	-1.7527354E-12	-240.39420E-12	-51.879700E-3	5.0369812E-12	-1.8345321E-12
-51.378448E-3	-243.10487E-12	-51.378448E-3	5.0131696E-12	-1.8249850E-12	-237.13659E-12	-51.378448E-3	4.9594209E-12	-1.6986407E-12
