Experiment	Oscilloscope	
5.3599995E-1	-7.0026914E-8
5.3699994E-1	-7.0026978E-8
5.3799999E-1	-7.0026871E-8
5.3899997E-1	-7.0026950E-8
5.3999996E-1	-7.0026971E-8
5.4099995E-1	-7.0026942E-8
5.4199994E-1	-7.0026935E-8
5.4299998E-1	-7.0026985E-8
5.4399997E-1	-7.0026857E-8
5.4499996E-1	-7.0026843E-8
5.4599994E-1	-7.0026914E-8
5.4699999E-1	-7.0026914E-8
5.4799998E-1	-7.0027170E-8
5.4899997E-1	-7.0027205E-8
5.4999995E-1	-7.0027227E-8
5.5099994E-1	-7.0027212E-8
5.5199999E-1	-7.0027120E-8
5.5299997E-1	-7.0026758E-8
5.5399996E-1	-7.0026736E-8
5.5499995E-1	-7.0026758E-8
5.5599993E-1	-7.0026864E-8
5.5699998E-1	-7.0027212E-8
5.5799997E-1	-7.0027227E-8
5.5899996E-1	-7.0027184E-8
5.5999994E-1	-7.0027369E-8
5.6099999E-1	-7.0026942E-8
5.6199998E-1	-7.0026815E-8
5.6299996E-1	-7.0027049E-8
5.6399995E-1	-7.0027099E-8
5.6499994E-1	-7.0027042E-8
5.6599998E-1	-7.0027085E-8
5.6699997E-1	-7.0026900E-8
5.6799996E-1	-7.0027369E-8
5.6899995E-1	-7.0027085E-8
5.6999993E-1	-7.0026985E-8
5.7099998E-1	-7.0027369E-8
5.7199997E-1	-7.0027468E-8
5.7299995E-1	-7.0027113E-8
5.7399994E-1	-7.0026957E-8
5.7499999E-1	-7.0026786E-8
5.7599998E-1	-7.0026900E-8
5.7699996E-1	-7.0027369E-8
5.7799995E-1	-7.0027312E-8
5.7899994E-1	-7.0027397E-8
5.7999998E-1	-7.0027554E-8
5.8099997E-1	-7.0027397E-8
5.8199996E-1	-7.0027284E-8
5.8299994E-1	-7.0027326E-8
5.8399993E-1	-7.0027383E-8
5.8499998E-1	-7.0027518E-8
5.8599997E-1	-7.0027440E-8
5.8699995E-1	-7.0027355E-8
5.8799994E-1	-7.0027525E-8
5.8899999E-1	-7.0027568E-8
5.8999997E-1	-7.0027127E-8
5.9099996E-1	-7.0027127E-8
5.9199995E-1	-7.0027198E-8
5.9299994E-1	-7.0027284E-8
5.9399998E-1	-7.0027127E-8
5.9499997E-1	-7.0027028E-8
5.9599996E-1	-7.0026999E-8
5.9699994E-1	-7.0027156E-8
5.9799993E-1	-7.0027326E-8
5.9899998E-1	-7.0027298E-8
5.9999996E-1	-7.0027262E-8
6.0099995E-1	-7.0027284E-8
6.0199994E-1	-7.0027255E-8
6.0299999E-1	-7.0027369E-8
6.0399997E-1	-7.0027355E-8
6.0499996E-1	-7.0027284E-8
6.0599995E-1	-7.0027482E-8
6.0699993E-1	-7.0027632E-8
6.0799998E-1	-7.0027170E-8
6.0899997E-1	-7.0027234E-8
6.0999995E-1	-7.0027205E-8
6.1099994E-1	-7.0027163E-8
6.1199993E-1	-7.0027482E-8
6.1299998E-1	-7.0027411E-8
6.1399996E-1	-7.0027241E-8
6.1499995E-1	-7.0027284E-8
6.1599994E-1	-7.0027127E-8
6.1699998E-1	-7.0027404E-8
6.1799997E-1	-7.0027497E-8
6.1899996E-1	-7.0027447E-8
6.1999995E-1	-7.0027667E-8
6.2099993E-1	-7.0027554E-8
6.2199998E-1	-7.0027284E-8
6.2299997E-1	-7.0027355E-8
6.2399995E-1	-7.0027468E-8
6.2499994E-1	-7.0027625E-8
6.2599993E-1	-7.0027596E-8
6.2699997E-1	-7.0027568E-8
6.2799996E-1	-7.0027568E-8
6.2899995E-1	-7.0027397E-8
6.2999994E-1	-7.0027355E-8
6.3099998E-1	-7.0027710E-8
6.3199997E-1	-7.0027440E-8
6.3299996E-1	-7.0027468E-8
6.3399994E-1	-7.0027347E-8
6.3499993E-1	-7.0027170E-8
6.3599998E-1	-7.0027269E-8
6.3699996E-1	-7.0027333E-8
6.3799995E-1	-7.0027326E-8
6.3899994E-1	-7.0027554E-8
6.3999999E-1	-7.0027291E-8
6.4099997E-1	-7.0027014E-8
6.4199996E-1	-7.0027113E-8
6.4299995E-1	-7.0027049E-8
6.4399993E-1	-7.0027220E-8
6.4499998E-1	-7.0027191E-8
6.4599997E-1	-7.0027085E-8
6.4699996E-1	-7.0027284E-8
6.4799994E-1	-7.0027475E-8
6.4899993E-1	-7.0027433E-8
6.4999998E-1	-7.0027212E-8
6.5099996E-1	-7.0027234E-8
6.5199995E-1	-7.0027546E-8
6.5299994E-1	-7.0027596E-8
6.5399998E-1	-7.0027497E-8
6.5499997E-1	-7.0027482E-8
6.5599996E-1	-7.0027212E-8
6.5699995E-1	-7.0027212E-8
6.5799993E-1	-7.0027191E-8
6.5899998E-1	-7.0027241E-8
6.5999997E-1	-7.0027568E-8
6.6099995E-1	-7.0027745E-8
6.6199994E-1	-7.0027376E-8
6.6299993E-1	-7.0027369E-8
6.6399997E-1	-7.0027241E-8
6.6499996E-1	-7.0027241E-8
6.6599995E-1	-7.0027113E-8
6.6699994E-1	-7.0026971E-8
6.6799998E-1	-7.0027234E-8
6.6899997E-1	-7.0027362E-8
6.6999996E-1	-7.0027397E-8
6.7099994E-1	-7.0027326E-8
6.7199993E-1	-7.0027241E-8
6.7299998E-1	-7.0027085E-8
6.7399997E-1	-7.0027284E-8
6.7499995E-1	-7.0027212E-8
6.7599994E-1	-7.0027333E-8
